symbol,totalBindingSites,log2FoldChange_dyna
KLHL17,7,4.353439183640264
B3GALT6,1,1.354738475188493
ATAD3B,1,0.24521952345747408
ATAD3A,1,0.06422349951369039
SKI,2,0.6987002875832599
CAMTA1,4,0.3186317318466348
SLC25A33,4,0.6037937143719306
PIK3CD,5,1.5283852639931708
UBE4B,4,1.238009493957333
TNFRSF1B,1,0.04500885052924685
VPS13D,5,0.9123204954775819
PRDM2,1,0.543038848479424
DNAJC16,10,1.3916442021188702
SPEN,11,0.9595222621111524
KDM1A,1,0.08565361857949008
ELOA,1,0.496130449453044
NIPAL3,2,0.2412297403970836
RCAN3,2,2.448156753507278
PDIK1L,1,0.23380295916440755
CEP85,1,0.8301017669044516
ARID1A,3,0.5951279706838736
ZDHHC18,2,1.1644972029756686
WDTC1,4,0.8533110856923495
STX12,1,0.2827640786827073
PHACTR4,11,0.034279534602009054
KHDRBS1,3,0.19285840917370267
KPNA6,4,0.1880478727582253
ZBTB8A,1,0.06403759598140313
ZMYM4,12,0.7920166530205297
AGO4,2,1.2281018907092827
AGO1,1,0.0970049103547188
AKIRIN1,2,2.3060859608174473
MACF1,6,0.9357995422136159
KDM4A,8,1.3291739699374003
ST3GAL3,8,0.8690941281561853
ATP6V0B,5,1.431564247554353
PLK3,1,3.006614348426264
CMPK1,5,0.3466416213907001
ZYG11A,6,3.110864565626611
CPT2,1,0.7142455740438691
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
ALG6,1,0.03896153394438074
SRSF11,2,0.5052158155297543
ACADM,1,0.31972790076950247
RABGGTB,2,1.4483002424889806
MIGA1,4,0.625396498904385
HS2ST1,5,0.29892004225314045
LMO4,3,0.8264956310821747
PKN2,2,1.090865144014002
LRRC8B,2,0.20948202742924096
LRRC8C,14,0.6185754898769378
LRRC8D,14,0.262279863536629
DR1,1,0.6511329074050842
ABCD3,1,0.14550369671062016
SLC35A3,7,0.9601055121325428
SLC35A3,7,0.9601055121325428
SLC35A3,7,0.9601055121325428
MFSD14A,8,0.5790905600617917
RTCA,1,0.7208819286973224
CDC14A,2,1.8681568237416089
FAM102B,2,1.0013967220123665
CEPT1,4,0.3144312495320088
RAP1A,2,0.4139404738759498
RAP1A,2,0.4139404738759498
CHD1L,3,0.6327233090997431
GPR89B,2,0.4347631476100664
PRPF3,4,0.5350023104967834
RPRD2,11,0.0877505773329317
GABPB2,2,0.36276482244188807
PIP5K1A,2,0.2943025377433447
UBAP2L,2,0.013011934899687687
HAX1,1,1.2499809628348917
IL6R,2,2.1276215628063477
TRIM46,2,4.322227755089472
RUSC1,1,0.27723787715306925
NHLH1,1,6.438643386935707
ATF6,1,0.21609890782244448
UHMK1,2,1.2785725400456238
NUF2,3,0.6336466640964
UCK2,1,0.2606644215509515
POU2F1,10,0.4980722399080286
PRRC2C,13,0.5336723673197313
SUCO,1,1.2314171011604922
KLHL20,2,0.5324203845009972
RABGAP1L,2,1.1878126332499284
RASAL2,7,0.11957215718561988
FAM20B,3,0.2931016048347198
CEP350,8,0.23934303781415525
XPR1,4,0.004376667363270072
DHX9,1,0.013944537249994662
SMG7,14,1.8420598249373796
CDC73,3,0.5610821527395594
NEK7,4,0.6177400880997067
PPP1R12B,2,1.7799841319062562
PPP1R12B,2,1.7799841319062562
PPP1R12B,2,1.7799841319062562
ATP2B4,2,0.16164625945472774
MDM4,1,0.2863378845039277
MDM4,1,0.2863378845039277
MDM4,1,0.2863378845039277
MDM4,1,0.2863378845039277
MDM4,1,0.2863378845039277
MDM4,1,0.2863378845039277
CD55,2,0.8512686922921844
HHAT,1,0.21024925718169896
RPS6KC1,2,0.41796677059721765
TGFB2,1,0.8437997922838029
CNIH4,1,0.4386699243336877
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
TSNAX-DISC1,1,0.23859059293798224
DISC1,3,0.7881777760939671
TBCE,5,0.20802382557895158
EXO1,1,0.14156133031679335
DESI2,1,0.16796019893099823
EFCAB2,5,0.24499074796112522
CNST,6,0.5907667357052541
PGBD2,1,1.5229602795946533
INTS11,3,1.2403855883927468
DVL1,6,3.8875575003634135
NOL9,1,0.47678882409285045
KLHL21,2,1.0445838973240125
DNAJC11,3,0.04896532056122145
RERE,7,0.29481417613800887
UBR4,8,0.6338526044836119
HP1BP3,2,1.0452285363644052
USP48,11,0.6595858830033221
HSPG2,2,0.17449562673214286
IFNLR1,2,0.25116013917997054
PAFAH2,5,0.13796166942819446
WASF2,4,0.6168193744446319
RNF19B,1,1.2310487943085282
KIAA0319L,2,0.07020648685315117
PSMB2,7,0.7031641434517538
CLSPN,4,0.506852738832257
TRAPPC3,6,0.018260138724057483
STK40,2,0.8240642485199419
MEAF6,1,0.4407144781284451
YRDC,2,1.272411783463608
MTF1,1,0.21726113047522388
INPP5B,3,0.16604163487856688
RRAGC,3,0.001664350810821134
MYCBP,1,0.8320277139083911
TRIT1,1,0.007503705309674054
SCMH1,9,1.4960146485731818
FOXJ3,2,0.9859426629887248
P3H1,1,0.06278464432507924
POMGNT1,5,1.735861698553209
MKNK1,1,0.06162620253534051
STIL,2,0.28633840508781166
FAF1,8,0.18465381520502544
NDC1,8,0.2564419227432076
USP24,1,0.6187161998801861
TM2D1,1,1.084138412261119
TM2D1,1,1.084138412261119
JAK1,2,0.020470213467784826
LRRC40,1,0.158572413977134
ANKRD13C,6,0.34252254105539603
ZZZ3,8,0.5542359982700555
FUBP1,1,0.20732080135513342
ZNF644,2,0.6571369214749991
SASS6,3,0.38787518028024015
WDR47,3,1.8364250288518655
KCNA3,1,1.483344245717979
TRIM33,1,0.07015505450002474
CSDE1,3,0.46379187430831675
LIX1L,2,0.0282108616182789
CERS2,10,0.6987986255584822
DENND4B,2,1.3843881334022878
C1orf43,10,1.482719920617969
ASH1L,10,0.94308550393492
GON4L,6,1.2547684938320098
ARHGEF2,8,1.5156343819542606
CCT3,9,0.17187029023875264
MEF2D,5,1.8450651077165512
IQGAP3,2,0.08324030097018015
ETV3,1,0.01900102741191541
IGSF8,2,0.021424896062696284
IGSF8,2,0.021424896062696284
COPA,4,0.3567766758838278
PFDN2,1,0.9649831196329929
B4GALT3,3,1.3403297400613576
ADCY10,2,0.81749876728366
NME7,3,0.4210820372657149
CENPL,1,0.29416485907334955
RC3H1,3,0.8577064504954723
ABL2,4,0.5228502819774493
RGS16,4,0.17284299085731328
COLGALT2,1,0.7613258869046602
TRMT1L,3,0.9396421831511066
TPR,1,1.274743575027549
DDX59,2,0.6980600060987449
KIF21B,6,0.7930217020740387
UBE2T,2,0.43333328198732407
KDM5B,4,0.8450757202109115
KLHL12,3,0.8688662643200492
ELK4,2,0.41437517906527616
SLC45A3,2,2.4553808403842563
SLC41A1,2,1.0468301967476739
SLC30A1,1,0.5748361141093999
BPNT1,1,0.6052062145248739
RAB3GAP2,1,0.8068908628172521
TP53BP2,4,0.7465989821207213
NVL,8,0.4434522631895338
LBR,11,0.5224591110435937
PYCR2,1,0.4801314322825694
SDE2,2,0.9281248800275317
LIN9,7,0.6822250592524419
TRIM11,3,0.26229228017655026
CCSAP,1,2.3558203953264245
NUP133,2,0.5241036166753127
ABCB10,2,0.33634686094569266
TTC13,3,0.8594572111845363
FAM89A,2,1.8878297818612053
EXOC8,1,0.7366542539860801
PCNX2,1,1.2797179358859128
TOMM20,3,0.21275218321702388
ARID4B,6,0.7886274231569758
B3GALNT2,5,1.111741349285431
LYST,9,1.1605374284724665
ERO1B,1,0.5475927781105835
HEATR1,4,0.22256390611219892
FH,1,0.09255048476173709
OPN3,2,0.0507543470703663
OPN3,2,0.0507543470703663
ZNF124,1,1.0136025747117035
HPCAL1,5,0.849790840518592
KLHL29,1,1.0709898392789785
GAREM2,1,1.2060674692564353
SELENOI,3,0.207978195896627
SLC4A1AP,2,0.5139278064046198
MRPL33,5,1.5814450825588708
FOSL2,5,0.24289607207779818
PPP1CB,6,1.2367258740099958
SLC30A6,7,0.11343554848230859
SLC30A6,7,0.11343554848230859
SLC30A6,7,0.11343554848230859
SLC30A6,7,0.11343554848230859
SLC30A6,7,0.11343554848230859
SLC30A6,7,0.11343554848230859
SLC30A6,7,0.11343554848230859
SLC30A6,7,0.11343554848230859
YIPF4,1,0.15714516139921264
YIPF4,1,0.15714516139921264
YIPF4,1,0.15714516139921264
BIRC6,11,0.8063908917091903
GPATCH11,2,2.5955403783030695
PPM1B,5,1.399810912535804
CAMKMT,17,0.8714316345542285
PRKCE,2,1.8375582843084814
CRIPT,1,0.46693624771616493
MSH2,5,0.6075612556499195
PPP1R21,2,1.2866728461617414
ERLEC1,3,0.9321958229511639
ACYP2,1,0.19282843095360458
SPTBN1,5,1.2820981024188949
PAPOLG,5,1.2667662056896893
B3GNT2,2,0.8611349518660002
SLC1A4,8,0.064121838106204
ACTR2,3,0.9654546458877813
PLEK,6,0.7852056927265946
APLF,1,0.44646701680914946
MXD1,3,0.14384207635677768
ZNF638,3,0.45987659304466943
TET3,4,0.5943175331265786
MTHFD2,11,0.5596340925246232
MTHFD2,11,0.5596340925246232
MTHFD2,11,0.5596340925246232
MTHFD2,11,0.5596340925246232
MTHFD2,11,0.5596340925246232
MTHFD2,11,0.5596340925246232
HK2,1,0.9038121683784953
ELMOD3,1,0.13010359903787147
MAT2A,1,0.8323724962223821
CNNM4,1,1.8064206186645722
INPP4A,2,0.012386198822467998
MRPL30,3,0.08838662905482937
MAP4K4,3,0.037737618160723276
NCK2,2,0.4097359325790184
RANBP2,2,0.3283031533043415
BCL2L11,2,1.1637234811821595
SLC20A1,1,0.8183731744293881
CBWD2,4,0.050587370665204405
STEAP3,4,0.20902325803613422
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
UGGT1,15,1.0881247478021154
MGAT5,4,1.0256121613064122
RAB3GAP1,1,0.5363076450123693
MBD5,1,0.247946077382027
EPC2,2,0.63471570692733
RIF1,7,0.49677349350236194
GPD2,1,0.09191683427897779
TANK,1,0.5421147611853722
PSMD14,1,0.21301596663069192
CERS6,2,0.6146857102314199
PPIG,6,1.1135080671502697
SSB,4,0.7476738253131713
UBR3,1,0.8353190994239388
HAT1,3,0.06310742596278401
DLX1,3,1.249351637104562
MAP3K20,2,1.171062273820371
MTX2,6,0.11000123837209544
AGPS,2,0.02464260839818601
WDR75,1,0.06463403463624437
GLS,3,1.0372841046855756
COQ10B,2,0.6505944372236949
CFLAR,2,0.581662779480542
CARF,5,1.0883453734242563
NBEAL1,1,1.515518250800737
PIKFYVE,3,0.323487020186363
XRCC5,5,0.14089735998740535
RPL37A,2,1.5595912256113094
STK36,1,0.7374230067100637
AGFG1,2,0.13919362599909735
FBXO36,1,0.7496148770559811
SP100,5,0.5328757679163201
PSMD1,1,0.37938917069266315
PSMD1,1,0.37938917069266315
GIGYF2,2,0.5030643679210617
ATG16L1,3,0.40685950373878316
DGKD,2,0.9418388147268757
COPS8,2,0.7364724204287714
LRRFIP1,8,0.6928034002841139
UBE2F,4,0.23335677079208175
UBE2F-SCLY,4,1.2230870715888476
UBE2F-SCLY,4,1.2230870715888476
UBE2F-SCLY,4,1.2230870715888476
UBE2F-SCLY,4,1.2230870715888476
UBE2F-SCLY,4,1.2230870715888476
TRAF3IP1,5,0.6416369388735133
ASB1,3,0.49804353634882753
ASB1,3,0.49804353634882753
ASB1,3,0.49804353634882753
KIDINS220,6,0.4942437774909232
ADAM17,9,0.26496267863466677
NOL10,6,0.418124378790624
ROCK2,2,1.4506448771115674
E2F6,1,0.2512382313934588
E2F6,1,0.2512382313934588
E2F6,1,0.2512382313934588
E2F6,1,0.2512382313934588
E2F6,1,0.2512382313934588
E2F6,1,0.2512382313934588
E2F6,1,0.2512382313934588
E2F6,1,0.2512382313934588
NBAS,8,0.7215657307761607
PUM2,9,0.4182108542094476
ATAD2B,9,0.8784405400444893
ITSN2,2,0.2703302353602086
ASXL2,10,0.08736746512851103
KIF3C,1,0.865462580084723
SUPT7L,2,0.03583375422630362
DPY30,2,0.28955231207526727
STRN,3,0.3524928192868785
HEATR5B,7,1.2400093532015746
EIF2AK2,1,0.3588211399127567
PRKD3,1,0.26078682228089006
ATL2,2,0.37905408186130973
SOS1,4,0.7459595026597821
ZFP36L2,11,4.34372818654429
THADA,2,0.04459966244281537
LRPPRC,10,0.5983453194911434
PREPL,2,0.7347175562037033
FBXO11,4,0.4551478821720897
PSME4,6,0.11695738338185944
PSME4,6,0.11695738338185944
CCDC88A,2,0.5168756308404183
PNPT1,2,0.33764065843890234
PNPT1,2,0.33764065843890234
FANCL,1,1.2934678626771723
BCL11A,5,1.8904058641300527
BCL11A,5,1.8904058641300527
USP34,14,0.3078738988330756
XPO1,3,0.5110664883737321
SERTAD2,6,1.9803706726108141
RAB1A,3,0.8477134338971913
SPRED2,1,0.1296266453403697
PPP3R1,5,1.3791111006927872
GFPT1,1,0.5639523999232642
AAK1,1,0.048262939447940974
C2orf42,1,0.2543875134835401
TIA1,1,0.08324781687167643
TIA1,1,0.08324781687167643
TIA1,1,0.08324781687167643
EXOC6B,1,0.7350225252687691
FBXO41,2,2.152110668703121
EIF2AK3,1,0.07698678226674469
DUSP2,1,1.2462918219122276
SNRNP200,2,0.018688068438351704
SEMA4C,2,0.8958189151237617
TMEM131,7,0.38848537236804404
UXS1,1,0.12753544496885275
ZC3H8,2,1.3494915396761296
ZC3H8,2,1.3494915396761296
CCDC93,1,0.374641051034317
C2orf76,1,0.20372334036419662
ERCC3,2,1.0987029998184468
IWS1,5,0.19416468059495415
POLR2D,1,0.8430649651371053
AMMECR1L,3,0.40391149982987273
ZEB2,16,0.7802624975082727
RBM43,1,1.691625034111217
ARL5A,2,0.6416658620878494
ACVR1,1,0.4481862609811752
RBMS1,2,0.2610051691081667
RBMS1,2,0.2610051691081667
TTC21B,4,2.1712084762265604
STK39,1,0.4577684417669753
METTL8,6,0.9945465733684296
SLC25A12,6,0.06468822248183237
ORMDL1,1,0.5490482272986752
GTF3C3,1,1.5981758716560281
HSPD1,2,0.2669996018034821
SATB2,17,0.7143907003790912
TYW5,1,0.010894438804066058
TYW5,1,0.010894438804066058
TYW5,1,0.010894438804066058
CLK1,1,1.014822101751885
CLK1,1,1.014822101751885
CLK1,1,1.014822101751885
CLK1,1,1.014822101751885
CLK1,1,1.014822101751885
CLK1,1,1.014822101751885
CLK1,1,1.014822101751885
CLK1,1,1.014822101751885
CLK1,1,1.014822101751885
PPIL3,2,0.36198355781012603
ORC2,4,0.336806193814787
TRAK2,1,0.5691605756170923
ALS2,2,1.1134238053939185
RAPH1,1,0.8899047796555734
INO80D,2,0.36282997831698555
NDUFS1,3,1.439215225207709
FZD5,1,0.9434991326384375
PLEKHM3,3,0.6520986987472375
KANSL1L,1,0.5240417930977439
IKZF2,1,0.8403897200802977
BARD1,2,0.2799072597253245
BARD1,2,0.2799072597253245
BARD1,2,0.2799072597253245
BARD1,2,0.2799072597253245
BARD1,2,0.2799072597253245
BARD1,2,0.2799072597253245
BARD1,2,0.2799072597253245
BARD1,2,0.2799072597253245
AP1S3,14,0.24042372081285673
CUL3,2,0.5730699917435312
DOCK10,1,0.6500453978242213
USP40,2,0.5119759254356993
HDAC4,5,0.9643204589586606
ITPR1,3,0.7139473412187881
EDEM1,6,0.28069842275512386
SETD5,1,0.2672806524847706
CRELD1,1,0.8611195308435814
FANCD2,2,0.35377305639033246
VHL,1,0.4096827740764388
NR2C2,3,0.07616246610194975
PLCL2,1,0.37828645342241757
CMC1,1,1.1529194449551925
STT3B,5,0.25994382146482287
CNOT10,3,2.376104521583641e-4
GOLGA4,2,0.7168266631976417
GOLGA4,2,0.7168266631976417
OXSR1,7,0.8130937230091277
XYLB,2,1.100226949651484
EIF1B,3,2.403695978382164
TRAK1,8,0.6039369617773807
SNRK,5,0.36521738240780255
ABHD5,3,0.28243930877367746
SACM1L,2,1.1624588560908544
DHX30,3,0.031432945385980814
ARIH2,1,0.06045239532866945
P4HTM,1,0.2935126531419191
WDR6,1,0.2003145847281055
RNF123,3,1.534613671536725
RBM6,10,0.661139741674253
RAD54L2,8,0.5306212495885111
DNAH1,1,1.6626896466896313
DNAH1,1,1.6626896466896313
DNAH1,1,1.6626896466896313
FLNB,6,0.6451846073658737
KCTD6,1,1.0763123635895373
ARL13B,2,0.7809442220418823
NSUN3,1,0.8864147567467532
CMSS1,5,0.6332598560012717
TBC1D23,6,0.6119165066534904
PCNP,1,0.03422767904530963
ALCAM,3,1.1462909556032124
ALCAM,3,1.1462909556032124
BBX,2,0.6733729763799927
PLCXD2,2,4.7243682168748204
ATP6V1A,4,0.36544454441285545
GTF2E1,1,1.3084419965076473
PARP14,1,0.26918683689974604
UMPS,3,0.9873261530170826
UMPS,3,0.9873261530170826
UMPS,3,0.9873261530170826
UMPS,3,0.9873261530170826
PLXNA1,2,0.5045467370139772
COPG1,3,0.35146078314562024
ATP2C1,6,0.6072435359580572
DNAJC13,3,0.42228134275974755
NCK1,1,0.3956289819063297
MRAS,3,0.3020215847891564
SLC25A36,1,0.6205697450273521
ATP1B3,1,0.12742383776629448
TSC22D2,2,0.8230078031798586
EIF2A,2,0.746586497994311
MBNL1,23,0.43975664977080053
MBNL1,23,0.43975664977080053
TIPARP,3,1.4258015646360676
RSRC1,6,0.3912757868682011
MFSD1,8,0.6129795080169339
C3orf80,3,1.8175162387097326
PPM1L,6,0.9675728021422257
SKIL,3,1.1956382715702951
ECT2,3,0.9188722684886625
FXR1,5,1.8887375172275715
ATP11B,8,0.8615953119128357
YEATS2,6,0.35144505761812456
ABCF3,1,0.025526892229528714
VPS8,2,0.9689820111103464
EIF4A2,1,1.2904220866004577
LPP,6,1.0059988568345177
CCDC50,1,0.5215847169564845
FBXO45,2,0.6636705183413999
NRROS,5,0.8214544365155809
PIGX,8,0.8664774570221693
PAK2,3,0.19455053459023444
SENP5,4,0.8980496430485628
LRCH3,2,1.1102972857878106
LMLN,1,1.5145290742738151
RAD18,2,0.6043948821306646
RAD18,2,0.6043948821306646
RAD18,2,0.6043948821306646
RAD18,2,0.6043948821306646
RAD18,2,0.6043948821306646
NGLY1,1,0.14881999793737655
SLC4A7,7,1.4434569608431123
CLASP2,7,0.8526310184412116
EPM2AIP1,1,0.4366202517261755
LRRFIP2,4,0.07059495367277083
ULK4,3,0.81246201352774
FYCO1,1,0.9720298491906968
SETD2,7,0.5008925991308697
SMARCC1,11,0.5558286665248479
CDC25A,2,0.3112934637988505
IP6K2,5,0.3290801881857413
PRKAR2A,8,0.05937232719288181
QRICH1,1,0.13152338460274512
IP6K1,1,0.08469870429425663
HYAL2,1,0.4210016806119297
CISH,12,4.50841785389917
DCAF1,1,0.5358370117943895
PBRM1,3,0.5197545275009312
SUCLG2,3,0.35089326053277564
TMF1,6,0.6145468283550156
TMF1,6,0.6145468283550156
TMF1,6,0.6145468283550156
TMF1,6,0.6145468283550156
TMF1,6,0.6145468283550156
TMF1,6,0.6145468283550156
TMF1,6,0.6145468283550156
FOXP1,12,0.17208889855546
EIF4E3,7,0.49835344485170857
RYBP,3,1.135545911934168
GBE1,2,0.2849778982216805
CGGBP1,4,0.6378282392543155
CLDND1,9,1.7687193691241383
TOMM70,1,0.6509612434918489
ZBTB11,4,0.339456497766729
CD47,1,0.7477577705849885
CFAP44,3,1.9755006839984783
CFAP44,3,1.9755006839984783
CFAP44,3,1.9755006839984783
ZBTB20,4,0.3919582829741613
GSK3B,4,0.6831019698099308
LRRC58,4,1.0612772827985977
POLQ,7,0.5219064850525388
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
GOLGB1,3,0.7621940741665872
IQCB1,1,0.19060681367652632
HACD2,6,0.19261569184376898
PIK3R4,2,0.48929059596612984
ACAD11,1,0.2261494492405986
TOPBP1,2,0.5194124494744949
MSL2,6,0.4997851287527037
STAG1,4,0.6927419834733267
DZIP1L,3,0.47733409857619274
PIK3CB,11,0.9826423417532276
XRN1,2,1.6267470777151636
ATR,8,0.5945640557174217
HLTF,3,0.6164995758638995
SHOX2,1,0.8064402781705687
GOLIM4,2,0.5668819709485213
MCCC1,1,0.39625551476733234
ACAP2,4,0.5421671355623526
TFRC,9,0.016511509393283757
UBXN7,2,1.4625770882435338
UBXN7,2,1.4625770882435338
UBXN7,2,1.4625770882435338
UBXN7,2,1.4625770882435338
UBXN7,2,1.4625770882435338
UBXN7,2,1.4625770882435338
UBXN7,2,1.4625770882435338
PCGF3,1,0.5820149359628374
UVSSA,3,2.156343987987142
FAM193A,10,0.3274566345975451
TBC1D14,1,0.1558736791493593
CPEB2,2,1.494092630605214
RBPJ,3,0.23719703226536243
N4BP2,7,0.8309827454716652
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
SLC30A9,1,0.046987344513597706
FIP1L1,4,0.3092656205340362
TMEM165,3,0.5070839423278383
CEP135,2,1.017071993807414
CEP135,2,1.017071993807414
SRP72,2,0.16762021006833772
REST,3,0.36422112247144195
POLR2B,3,0.5474340526641357
